Date,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
2016-06-24,139500.0,28000.0,52300.0,665.2990112304688,1320.0
2016-06-25,,,,665.1229858398438,
2016-06-26,,,,629.3670043945312,
2016-06-27,141500.0,27960.0,52000.0,655.2750244140625,1322.5
2016-06-28,139000.0,27980.0,53000.0,647.0009765625,1315.300048828125
2016-06-29,139000.0,27920.0,53700.0,639.8900146484375,1323.9000244140625
2016-06-30,135500.0,28500.0,53900.0,673.3369750976562,1318.4000244140625
2016-07-01,137000.0,29320.0,55100.0,676.2960205078125,1336.699951171875
2016-07-02,,,,703.7020263671875,
2016-07-03,,,,658.6640014648438,
2016-07-04,137000.0,29320.0,56300.0,683.6619873046875,
2016-07-05,135000.0,29380.0,55900.0,670.6270141601562,1356.4000244140625
2016-07-06,130000.0,28420.0,55100.0,677.3309936523438,1364.9000244140625
2016-07-07,131000.0,29000.0,56400.0,640.56201171875,1360.0999755859375
2016-07-08,130500.0,29200.0,56200.0,666.5230102539062,1356.5999755859375
2016-07-09,,,,650.9600219726562,
2016-07-10,,,,649.3599853515625,
2016-07-11,131000.0,29780.0,55100.0,647.6589965820312,1355.0
2016-07-12,132000.0,29280.0,56400.0,664.551025390625,1334.0999755859375
2016-07-13,135500.0,29620.0,55600.0,654.468017578125,1342.4000244140625
2016-07-14,131500.0,30000.0,55900.0,658.0780029296875,1331.300048828125
2016-07-15,133000.0,30360.0,55600.0,663.2550048828125,1326.5
2016-07-16,,,,660.7670288085938,
2016-07-17,,,,679.458984375,
2016-07-18,132000.0,30660.0,55400.0,673.1060180664062,1328.4000244140625
2016-07-19,130000.0,30660.0,55100.0,672.864013671875,1331.5
2016-07-20,129500.0,30800.0,54300.0,665.6849975585938,1318.800048828125
2016-07-21,130000.0,30860.0,52800.0,665.0120239257812,1330.5
2016-07-22,129000.0,30320.0,53200.0,650.6190185546875,1323.0999755859375
2016-07-23,,,,655.5560302734375,
2016-07-24,,,,661.2849731445312,
2016-07-25,135500.0,30040.0,53400.0,654.0969848632812,1319.300048828125
2016-07-26,136000.0,30600.0,54400.0,651.7839965820312,1320.699951171875
2016-07-27,137000.0,30540.0,56200.0,654.3519897460938,1326.5999755859375
2016-07-28,136000.0,30140.0,55000.0,655.0349731445312,1332.300048828125
2016-07-29,132000.0,30780.0,53500.0,656.9920043945312,1349.0
2016-07-30,,,,655.0469970703125,
2016-07-31,,,,624.6810302734375,
2016-08-01,135500.0,31360.0,53600.0,606.27197265625,1351.4000244140625
2016-08-02,134000.0,30960.0,52900.0,547.4650268554688,1364.4000244140625
2016-08-03,132000.0,30340.0,52700.0,566.35498046875,1356.0999755859375
2016-08-04,130500.0,30340.0,52500.0,578.2890014648438,1358.800048828125
2016-08-05,133000.0,31220.0,53500.0,575.0430297851562,1336.4000244140625
2016-08-06,,,,587.7780151367188,
2016-08-07,,,,592.6900024414062,
2016-08-08,133000.0,31380.0,52700.0,591.0540161132812,1333.4000244140625
2016-08-09,136500.0,31340.0,53700.0,587.801025390625,1339.0
2016-08-10,134000.0,30820.0,53300.0,592.10302734375,1344.300048828125
2016-08-11,134500.0,31180.0,52500.0,589.1199951171875,1342.5
2016-08-12,136000.0,30900.0,52400.0,587.5590209960938,1335.800048828125
2016-08-13,,,,585.5880126953125,
2016-08-14,,,,570.4730224609375,
2016-08-15,,,,567.239990234375,1340.300048828125
2016-08-16,133000.0,31360.0,52800.0,577.4390258789062,1350.5
2016-08-17,135000.0,31320.0,53400.0,573.2160034179688,1342.699951171875
2016-08-18,132500.0,32800.0,53100.0,574.3179931640625,1351.199951171875
2016-08-19,132500.0,33500.0,52200.0,575.6300048828125,1340.4000244140625
2016-08-20,,,,581.697021484375,
2016-08-21,,,,581.3079833984375,
2016-08-22,132000.0,33300.0,52400.0,586.7529907226562,1337.699951171875
2016-08-23,132500.0,33740.0,51500.0,583.4149780273438,1340.5999755859375
2016-08-24,135500.0,33060.0,51100.0,580.1820068359375,1324.4000244140625
2016-08-25,136500.0,32780.0,52100.0,577.760986328125,1320.0999755859375
2016-08-26,135500.0,32240.0,52100.0,579.6510009765625,1321.5
2016-08-27,,,,569.947021484375,
2016-08-28,,,,573.9119873046875,
2016-08-29,134000.0,32800.0,51500.0,574.1069946289062,1322.9000244140625
2016-08-30,132500.0,32900.0,52200.0,577.5029907226562,1311.699951171875
2016-08-31,133000.0,32400.0,51500.0,575.4719848632812,1306.9000244140625
2016-09-01,131500.0,31740.0,51100.0,572.302978515625,1312.199951171875
2016-09-02,135000.0,31940.0,51500.0,575.5369873046875,1322.0999755859375
2016-09-03,,,,598.2119750976562,
2016-09-04,,,,608.6339721679688,
2016-09-05,139000.0,32120.0,53100.0,606.5900268554688,
2016-09-06,139500.0,32860.0,53900.0,610.4359741210938,1349.4000244140625
2016-09-07,139000.0,32420.0,52900.0,614.5440063476562,1344.300048828125
2016-09-08,139000.0,32780.0,51800.0,626.3159790039062,1336.800048828125
2016-09-09,139500.0,31500.0,51500.0,622.8610229492188,1330.0999755859375
2016-09-10,,,,623.5089721679688,
2016-09-11,,,,606.718994140625,
2016-09-12,138500.0,29300.0,51200.0,608.2429809570312,1321.0
2016-09-13,138500.0,30540.0,50000.0,609.2410278320312,1319.0
2016-09-14,,,,610.6840209960938,1321.5
2016-09-15,,,,607.155029296875,1313.5
2016-09-16,,,,606.9730224609375,1305.800048828125
2016-09-17,,,,605.9840087890625,
2016-09-18,,,,609.8740234375,
2016-09-19,137000.0,31160.0,50000.0,609.2269897460938,1313.5
2016-09-20,138500.0,31700.0,49200.0,608.31201171875,1313.699951171875
2016-09-21,138000.0,31840.0,50300.0,597.1489868164062,1326.9000244140625
2016-09-22,138000.0,32360.0,49750.0,596.2979736328125,1340.4000244140625
2016-09-23,142000.0,31420.0,50100.0,602.8419799804688,1337.199951171875
2016-09-24,,,,602.625,
2016-09-25,,,,600.8259887695312,
2016-09-26,140500.0,31360.0,49900.0,608.0430297851562,1339.699951171875
2016-09-27,141500.0,31380.0,50200.0,606.166015625,1325.9000244140625
2016-09-28,138500.0,31340.0,49000.0,604.72802734375,1319.4000244140625
2016-09-29,139500.0,32000.0,48800.0,605.6929931640625,1321.699951171875
2016-09-30,135500.0,31960.0,47900.0,609.7349853515625,1313.300048828125
2016-10-01,,,,613.9829711914062,
2016-10-02,,,,610.8920288085938,
2016-10-03,,,,612.1329956054688,1309.0
